raxml -m GTRGAMMA -i 15 -j True -k True -p 123456 -T 4 -N 200
Alignment sites: 1237 11271
Alignment has 9029 distinct alignment patterns
Proportion of gaps and completely undetermined characters in this alignment: 2.40%
Partition: 0
Alignment Patterns: 9029
DataType: DNA
Substitution Matrix: GTR
Partition: 0
Base frequencies: 0.293 0.282 0.153 0.271
alpha[0]: 0.474112 rates[0] ac ag at cg ct gt: 2.411006 18.922569 1.593967 1.011444 17.386264 1.000000
alpha[0]: 0.474708 rates[0] ac ag at cg ct gt: 2.333820 18.332539 1.539561 0.977821 16.842512 1.000000
alpha[0]: 0.474700 rates[0] ac ag at cg ct gt: 2.391906 18.781465 1.581111 1.003743 17.271020 1.000000
alpha[0]: 0.474078 rates[0] ac ag at cg ct gt: 2.330350 18.327610 1.538139 0.975329 16.796906 1.000000
alpha[0]: 0.474389 rates[0] ac ag at cg ct gt: 2.379421 18.716576 1.570499 1.000422 17.148972 1.000000
alpha[0]: 0.474142 rates[0] ac ag at cg ct gt: 2.341116 18.412007 1.546000 0.980023 16.879536 1.000000
alpha[0]: 0.474550 rates[0] ac ag at cg ct gt: 2.335510 18.339529 1.541441 0.978900 16.873005 1.000000
alpha[0]: 0.474909 rates[0] ac ag at cg ct gt: 2.353088 18.507758 1.552788 0.984983 16.967359 1.000000
alpha[0]: 0.474575 rates[0] ac ag at cg ct gt: 2.364234 18.584477 1.560445 0.990765 17.046440 1.000000
alpha[0]: 0.474933 rates[0] ac ag at cg ct gt: 2.339375 18.387411 1.543266 0.979104 16.865720 1.000000
alpha[0]: 0.474894 rates[0] ac ag at cg ct gt: 2.323285 18.278877 1.533305 0.971293 16.762895 1.000000
alpha[0]: 0.474746 rates[0] ac ag at cg ct gt: 2.305702 18.126430 1.520566 0.965471 16.635451 1.000000
alpha[0]: 0.474488 rates[0] ac ag at cg ct gt: 2.268185 17.811526 1.492540 0.947384 16.348586 1.000000
alpha[0]: 0.474223 rates[0] ac ag at cg ct gt: 2.413513 18.992896 1.597785 1.012369 17.396569 1.000000
alpha[0]: 0.474529 rates[0] ac ag at cg ct gt: 2.410002 18.943861 1.592095 1.011095 17.373326 1.000000
alpha[0]: 0.474854 rates[0] ac ag at cg ct gt: 2.352418 18.479426 1.553423 0.984729 16.972374 1.000000
alpha[0]: 0.474367 rates[0] ac ag at cg ct gt: 2.363288 18.603833 1.563112 0.991544 17.032561 1.000000
alpha[0]: 0.474746 rates[0] ac ag at cg ct gt: 2.390520 18.786436 1.580118 1.004147 17.252357 1.000000
alpha[0]: 0.474403 rates[0] ac ag at cg ct gt: 2.366395 18.609894 1.563865 0.990717 17.058655 1.000000
alpha[0]: 0.474554 rates[0] ac ag at cg ct gt: 2.342986 18.410363 1.546667 0.982262 16.904566 1.000000
alpha[0]: 0.474742 rates[0] ac ag at cg ct gt: 2.398627 18.826424 1.585412 1.005911 17.313855 1.000000
alpha[0]: 0.474504 rates[0] ac ag at cg ct gt: 2.351790 18.489325 1.553359 0.985821 16.952283 1.000000
alpha[0]: 0.474227 rates[0] ac ag at cg ct gt: 2.335667 18.371954 1.542681 0.976333 16.834937 1.000000
alpha[0]: 0.474560 rates[0] ac ag at cg ct gt: 2.407908 18.949154 1.592539 1.011215 17.348065 1.000000
alpha[0]: 0.474378 rates[0] ac ag at cg ct gt: 2.347504 18.449074 1.548678 0.983693 16.929165 1.000000
alpha[0]: 0.474680 rates[0] ac ag at cg ct gt: 2.370881 18.614997 1.564834 0.995031 17.116169 1.000000
alpha[0]: 0.474399 rates[0] ac ag at cg ct gt: 2.338157 18.383503 1.542463 0.978887 16.852217 1.000000
alpha[0]: 0.474248 rates[0] ac ag at cg ct gt: 2.337301 18.372317 1.542576 0.979262 16.849984 1.000000
alpha[0]: 0.474986 rates[0] ac ag at cg ct gt: 2.405322 18.936077 1.590840 1.011191 17.353971 1.000000
alpha[0]: 0.474513 rates[0] ac ag at cg ct gt: 2.397092 18.859501 1.584709 1.004141 17.261220 1.000000
alpha[0]: 0.474396 rates[0] ac ag at cg ct gt: 2.333284 18.303621 1.540233 0.976567 16.841895 1.000000
alpha[0]: 0.474797 rates[0] ac ag at cg ct gt: 2.402259 18.886822 1.588521 1.006835 17.327641 1.000000
alpha[0]: 0.474644 rates[0] ac ag at cg ct gt: 2.394382 18.810968 1.583202 1.006230 17.289484 1.000000
alpha[0]: 0.474953 rates[0] ac ag at cg ct gt: 2.341865 18.399940 1.545357 0.979584 16.903051 1.000000
alpha[0]: 0.474510 rates[0] ac ag at cg ct gt: 2.394635 18.834929 1.581938 1.006597 17.270314 1.000000
alpha[0]: 0.474449 rates[0] ac ag at cg ct gt: 2.334666 18.360903 1.541081 0.974703 16.828980 1.000000
alpha[0]: 0.474310 rates[0] ac ag at cg ct gt: 2.333217 18.347422 1.537967 0.976929 16.818589 1.000000
alpha[0]: 0.474331 rates[0] ac ag at cg ct gt: 2.344842 18.428788 1.545573 0.983500 16.903610 1.000000
alpha[0]: 0.474638 rates[0] ac ag at cg ct gt: 2.320518 18.228928 1.531164 0.971662 16.742788 1.000000
alpha[0]: 0.474775 rates[0] ac ag at cg ct gt: 2.359345 18.543720 1.557408 0.987639 17.011328 1.000000
alpha[0]: 0.474441 rates[0] ac ag at cg ct gt: 2.350610 18.480635 1.549048 0.984669 16.938472 1.000000
alpha[0]: 0.474489 rates[0] ac ag at cg ct gt: 2.394404 18.835044 1.582151 1.006138 17.265582 1.000000
